UID,PCLDEND6,RDDEN,SAGESAND0,SDENSTR,SDIASTRD8,ZSCORE,ZTRANS,ODDS,p,HISTORICAL,L2020,L2050,U2020,U2050,ZOU,CHK
185,0,0.033558,0.0,0.0306012757672,0.0,0.547773349267,-0.561608837986,1.57748688549,0.612025184054,0.612025184054,0.700343171535,0.700677282509,0.787529403673,0.786008046139,0,0
195,0,0.02804,0.0,0.0282157612027,0.001045,0.543649989503,-0.5625799521,1.56848280992,0.610665099202,0.610665099202,0.699140497304,0.699475373815,0.786570012783,0.785043660748,0,0
202,0,0.060784,0.0,0.0404899508571,0.0,0.137493720699,-0.663176784987,0.866877808297,0.464346302926,0.464346302926,0.562236137022,0.562628068213,0.67071194749,0.668706013382,0,0
203,0,0.075999,0.0,0.0346312313512,0.0,-0.743166278897,-0.923854114724,0.186483111076,0.157173000892,0.157173000892,0.21647717854,0.216747421329,0.304671445991,0.302753726762,0,0
204,0,0.033402,0.0,0.0359350645291,0.0,0.85853450614,-0.491007359114,2.39167036576,0.705160026725,0.705160026725,0.779901346655,0.780174595109,0.848932909887,0.847766230734,0,0
211,0,0.031542,0.0,0.0282569320981,0.019772,-0.752592918541,-0.927046970824,0.183006276626,0.154695947301,0.154695947301,0.21330202554,0.213569384999,0.300699161827,0.298795701389,0,0
212,0,0.043204,0.0,0.0405883213222,0.0,0.773365132378,-0.509866354061,2.14004754859,0.681533484915,0.681533484915,0.76022757611,0.760517749186,0.834117164041,0.832858591702,0,0
213,0,0.036871,0.0,0.0427014272505,0.0,1.12130296649,-0.434967898917,3.32781358387,0.768936443167,0.768936443167,0.831376599304,0.831599740992,0.886610764764,0.885695889435,0,0
217,0,0.023578,0.0,0.008366530801,0.002313,-0.51147246492,-0.848421226153,0.290899644714,0.225346444168,0.225346444168,0.301181623601,0.30151691663,0.406003212902,0.403818092712,0,0
225,0,0.048627,0.0,0.0388839883469,0.0,0.481438434764,-0.577347341819,1.43772600622,0.589781625396,0.589781625396,0.680519936634,0.680866078383,0.771592773875,0.769990632846,0,0
226,0,0.082993,0.0,0.0265078415788,0.0,-1.45867466364,-1.20087357448,0.0364322715694,0.0351516182666,0.0351516182666,0.051212521305,0.0512899585363,0.0788528587247,0.0781966790428,0,0
