"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"179","56","6","6","3","123","SPAGESTR3"
"180","56","6","6","4","189","T20_1300SD"
"181","56","6","6","5","195","T20_1600SD"
"182","56","6","6","6","197","T20_1700SD"
"183","57","6","7","1","36","PCLDEND1"
"184","57","6","7","2","37","PCLDEND2"
"185","57","6","7","3","45","RDDEND0"
"186","57","6","7","4","46","RDDEND1"
"187","57","6","7","5","123","SPAGESTR3"
"188","57","6","7","6","128","SPDIASTR2"
"189","58","6","8","1","41","PCLDEND6"
"190","58","6","8","2","46","RDDEND1"
"191","58","6","8","3","54","SAGESAND0"
"192","58","6","8","4","59","SAGESAND5"
"193","58","6","8","5","96","SDIASTRD8"
"194","58","6","8","6","115","SLOPSTR1"
"195","59","6","9","1","39","PCLDEND4"
"196","59","6","9","2","46","RDDEND1"
"197","59","6","9","3","54","SAGESAND0"
"198","59","6","9","4","78","SDENSAND10"
"199","59","6","9","5","115","SLOPSTR1"
"200","59","6","9","6","128","SPDIASTR2"
"201","60","6","10","1","46","RDDEND1"
"202","60","6","10","2","95","SDIASTRD7"
"203","60","6","10","3","110","SLOPSAND6"
"204","60","6","10","4","128","SPDIASTR2"
"205","60","6","10","5","158","T10_450MN"
"206","60","6","10","6","159","T10_450SD"
"207","61","7","1","1","6","BLDADEND5"
"208","61","7","1","2","34","PCLDEN"
"209","61","7","1","3","35","PCLDEND0"
"210","61","7","1","4","123","SPAGESTR3"
"211","61","7","1","5","128","SPDIASTR2"
"212","61","7","1","6","175","T10_850SD"
"213","61","7","1","7","189","T20_1300SD"
"214","62","7","2","1","35","PCLDEND0"
"215","62","7","2","2","46","RDDEND1"
"216","62","7","2","3","94","SDIASTRD4"
"217","62","7","2","4","105","SLOPSAND1"
"218","62","7","2","5","175","T10_850SD"
"219","62","7","2","6","189","T20_1300SD"
"220","62","7","2","7","199","T20_1800SD"
"221","63","7","3","1","1","BLDADEN"
"222","63","7","3","2","95","SDIASTRD7"
"223","63","7","3","3","128","SPDIASTR2"
"224","63","7","3","4","139","T5_50SD"
"225","63","7","3","5","140","T5_75MN"
"226","63","7","3","6","197","T20_1700SD"
"227","63","7","3","7","199","T20_1800SD"
"228","64","7","4","1","1","BLDADEN"
"229","64","7","4","2","95","SDIASTRD7"
"230","64","7","4","3","128","SPDIASTR2"
"231","64","7","4","4","139","T5_50SD"
"232","64","7","4","5","140","T5_75MN"
"233","64","7","4","6","197","T20_1700SD"
"234","64","7","4","7","199","T20_1800SD"
"235","65","7","5","1","46","RDDEND1"
"236","65","7","5","2","87","SDIASTR2"
"237","65","7","5","3","95","SDIASTRD7"
"238","65","7","5","4","117","SPAGESAN1"
"239","65","7","5","5","123","SPAGESTR3"
"240","65","7","5","6","151","T10_250SD"
"241","65","7","5","7","159","T10_450SD"
"242","66","7","6","1","6","BLDADEND5"
"243","66","7","6","2","34","PCLDEN"
"244","66","7","6","3","35","PCLDEND0"
"245","66","7","6","4","123","SPAGESTR3"
"246","66","7","6","5","128","SPDIASTR2"
"247","66","7","6","6","175","T10_850SD"
"248","66","7","6","7","185","T20_1100SD"
"249","67","7","7","1","2","BLDADEND1"
"250","67","7","7","2","6","BLDADEND5"
"251","67","7","7","3","47","RDDEND2"
"252","67","7","7","4","110","SLOPSAND6"
"253","67","7","7","5","128","SPDIASTR2"
"254","67","7","7","6","138","T5_50MN"
"255","67","7","7","7","139","T5_50SD"
"256","68","7","8","1","14","BLDDEND2"
"257","68","7","8","2","35","PCLDEND0"
"258","68","7","8","3","39","PCLDEND4"
"259","68","7","8","4","46","RDDEND1"
"260","68","7","8","5","88","SDIASTR3"
"261","68","7","8","6","123","SPAGESTR3"
"262","68","7","8","7","128","SPDIASTR2"
"263","69","7","9","1","1","BLDADEN"
"264","69","7","9","2","95","SDIASTRD7"
"265","69","7","9","3","110","SLOPSAND6"
"266","69","7","9","4","117","SPAGESAN1"
"267","69","7","9","5","128","SPDIASTR2"
"268","69","7","9","6","175","T10_850SD"
"269","69","7","9","7","183","T20_1000SD"
"270","70","7","10","1","1","BLDADEN"
"271","70","7","10","2","95","SDIASTRD7"
"272","70","7","10","3","110","SLOPSAND6"
"273","70","7","10","4","117","SPAGESAN1"
"274","70","7","10","5","128","SPDIASTR2"
"275","70","7","10","6","175","T10_850SD"
"276","70","7","10","7","179","T10_950SD"
"277","71","8","1","1","1","BLDADEN"
"278","71","8","1","2","6","BLDADEND5"
"279","71","8","1","3","95","SDIASTRD7"
"280","71","8","1","4","102","SLOPSAN4"
"281","71","8","1","5","110","SLOPSAND6"
"282","71","8","1","6","128","SPDIASTR2"
"283","71","8","1","7","138","T5_50MN"
"284","71","8","1","8","139","T5_50SD"
"285","72","8","2","1","34","PCLDEN"
"286","72","8","2","2","35","PCLDEND0"
"287","72","8","2","3","123","SPAGESTR3"
"288","72","8","2","4","128","SPDIASTR2"
"289","72","8","2","5","175","T10_850SD"
"290","72","8","2","6","185","T20_1100SD"
"291","72","8","2","7","195","T20_1600SD"
"292","72","8","2","8","197","T20_1700SD"
"293","73","8","3","1","35","PCLDEND0"
"294","73","8","3","2","46","RDDEND1"
"295","73","8","3","3","87","SDIASTR2"
"296","73","8","3","4","138","T5_50MN"
"297","73","8","3","5","139","T5_50SD"
"298","73","8","3","6","179","T10_950SD"
"299","73","8","3","7","199","T20_1800SD"
"300","73","8","3","8","201","T20_1900SD"
"301","74","8","4","1","9","BLDADEND8"
"302","74","8","4","2","34","PCLDEN"
"303","74","8","4","3","35","PCLDEND0"
"304","74","8","4","4","46","RDDEND1"
"305","74","8","4","5","79","SDENSTR"
"306","74","8","4","6","96","SDIASTRD8"
"307","74","8","4","7","175","T10_850SD"
"308","74","8","4","8","185","T20_1100SD"
"309","75","8","5","1","1","BLDADEN"
"310","75","8","5","2","95","SDIASTRD7"
"311","75","8","5","3","110","SLOPSAND6"
"312","75","8","5","4","128","SPDIASTR2"
"313","75","8","5","5","138","T5_50MN"
"314","75","8","5","6","139","T5_50SD"
"315","75","8","5","7","175","T10_850SD"
"316","75","8","5","8","189","T20_1300SD"
"317","76","8","6","1","6","BLDADEND5"
"318","76","8","6","2","46","RDDEND1"
"319","76","8","6","3","115","SLOPSTR1"
"320","76","8","6","4","128","SPDIASTR2"
"321","76","8","6","5","138","T5_50MN"
"322","76","8","6","6","139","T5_50SD"
"323","76","8","6","7","179","T10_950SD"
"324","76","8","6","8","199","T20_1800SD"
"325","77","8","7","1","1","BLDADEN"
"326","77","8","7","2","78","SDENSAND10"
"327","77","8","7","3","79","SDENSTR"
"328","77","8","7","4","128","SPDIASTR2"
"329","77","8","7","5","138","T5_50MN"
"330","77","8","7","6","139","T5_50SD"
"331","77","8","7","7","185","T20_1100SD"
"332","77","8","7","8","199","T20_1800SD"
"333","78","8","8","1","1","BLDADEN"
"334","78","8","8","2","78","SDENSAND10"
"335","78","8","8","3","79","SDENSTR"
"336","78","8","8","4","128","SPDIASTR2"
"337","78","8","8","5","138","T5_50MN"
"338","78","8","8","6","139","T5_50SD"
"339","78","8","8","7","183","T20_1000SD"
"340","78","8","8","8","199","T20_1800SD"
"341","79","8","9","1","34","PCLDEN"
"342","79","8","9","2","35","PCLDEND0"
"343","79","8","9","3","123","SPAGESTR3"
"344","79","8","9","4","128","SPDIASTR2"
"345","79","8","9","5","175","T10_850SD"
"346","79","8","9","6","185","T20_1100SD"
"347","79","8","9","7","195","T20_1600SD"
"348","79","8","9","8","197","T20_1700SD"
"349","80","8","10","1","1","BLDADEN"
"350","80","8","10","2","95","SDIASTRD7"
"351","80","8","10","3","110","SLOPSAND6"
"352","80","8","10","4","128","SPDIASTR2"
"353","80","8","10","5","138","T5_50MN"
"354","80","8","10","6","139","T5_50SD"
"355","80","8","10","7","175","T10_850SD"
"356","80","8","10","8","189","T20_1300SD"
"357","81","9","1","1","6","BLDADEND5"
"358","81","9","1","2","36","PCLDEND1"
"359","81","9","1","3","78","SDENSAND10"
"360","81","9","1","4","79","SDENSTR"
"361","81","9","1","5","92","SDIASTRD0"
"362","81","9","1","6","123","SPAGESTR3"
"363","81","9","1","7","128","SPDIASTR2"
"364","81","9","1","8","189","T20_1300SD"
"365","81","9","1","9","199","T20_1800SD"
"366","82","9","2","1","6","BLDADEND5"
"367","82","9","2","2","36","PCLDEND1"
"368","82","9","2","3","39","PCLDEND4"
"369","82","9","2","4","64","SAGESTR3"
"370","82","9","2","5","78","SDENSAND10"
"371","82","9","2","6","138","T5_50MN"
"372","82","9","2","7","139","T5_50SD"
"373","82","9","2","8","189","T20_1300SD"
"374","82","9","2","9","203","T20_2000SD"
"375","84","9","4","1","46","RDDEND1"
