"VARNAME1","VARNAME2","CORCOEF"
"BLDDEND2","T10_700SD",0.200160529209675
"BLDDEND2","T10_850SD",0.19253630983029
"BLDDEND2","T10_950SD",0.174670905207175
"BLDDEND2","T20_1000MN",0.240770386666544
"BLDDEND2","T20_1000SD",0.174956321550916
"BLDDEND2","T20_1100SD",0.188301351585879
"BLDDEND2","T20_1200SD",0.187493105516199
"BLDDEND2","T20_1300SD",0.186568255797008
"BLDDEND2","T20_1600SD",0.177397432499594
"BLDDEND2","T20_1700SD",0.176584611229314
"BLDDEND2","T20_1800SD",0.184543157120705
"BLDDEND2","T20_1900SD",0.18419001836676
"BLDDEND2","T20_2000SD",0.183858466990978
"BLDDEND2","T5_100MN",0.0987649578766034
"BLDDEND2","T5_50MN",0.0298092046809324
"BLDDEND2","T5_50SD",0.0395013511369188
"BLDDEND2","T5_75MN",0.065342949438709
"BLDDEND7","BLDADEN",0.195687542494843
"BLDDEND7","BLDADEND1",-0.086710996952412
"BLDDEND7","BLDADEND5",-0.0256579002895393
"BLDDEND7","BLDADEND8",-0.0102040816326531
"BLDDEND7","BLDDEND2",-0.0587139240376276
"BLDDEND7","BLDDEND7",1
"BLDDEND7","PCLDEN",0.0553382697017731
"BLDDEND7","PCLDEND0",-0.0357142857142857
"BLDDEND7","PCLDEND1",-0.0587139240376276
"BLDDEND7","PCLDEND2",-0.0618589574131742
"BLDDEND7","PCLDEND4",-0.0357142857142857
"BLDDEND7","PCLDEND5",-0.0178571428571429
"BLDDEND7","PCLDEND6",-0.0102040816326531
"BLDDEND7","RDDEND0",-0.0763603548321213
"BLDDEND7","RDDEND1",0.0797285458105349
"BLDDEND7","RDDEND2",-0.0102040816326531
"BLDDEND7","SAGESAND0",-0.0216599754396134
"BLDDEND7","SAGESAND1",-0.0228883821741766
"BLDDEND7","SAGESAND5",0.0434116155509828
"BLDDEND7","SAGESTR3",-0.00727863251240841
"BLDDEND7","SAGESTRD10",-0.0102040816326531
"BLDDEND7","SDENSAN",-0.0503822449359639
"BLDDEND7","SDENSAND10",0.035347975664671
"BLDDEND7","SDENSTR",-0.0283046550872563
"BLDDEND7","SDIASTR2",0.132519745820314
"BLDDEND7","SDIASTR3",-0.0452938009251177
"BLDDEND7","SDIASTRD0",-0.01441107566466
"BLDDEND7","SDIASTRD4",0.194218615104597
"BLDDEND7","SDIASTRD7",-0.0541903316169332
"BLDDEND7","SDIASTRD8",-0.0425380969336774
"BLDDEND7","SLOPSAN4",-0.0465284718204117
"BLDDEND7","SLOPSAND1",-0.0455440740299423
"BLDDEND7","SLOPSAND6",0.410675973889633
"BLDDEND7","SLOPSTR1",-0.0283046550872563
"BLDDEND7","SLOPSTRD0",-0.0283025499970584
"BLDDEND7","SPAGESAN1",-0.0145049452161946
"BLDDEND7","SPAGESTR3",0.0256579002895393
"BLDDEND7","SPDIASTR2",0.0618589574131742
"BLDDEND7","T10_1000MN",-0.00134970484507599
"BLDDEND7","T10_1000SD",0.0486141021817413
"BLDDEND7","T10_250SD",0.0841241747213193
"BLDDEND7","T10_400SD",0.0734914635097448
"BLDDEND7","T10_450MN",-0.00782567948131154
"BLDDEND7","T10_450SD",0.0695819841364633
"BLDDEND7","T10_650SD",0.0581668847725465
"BLDDEND7","T10_700SD",0.0543105860762412
"BLDDEND7","T10_850SD",0.046617754438609
"BLDDEND7","T10_950SD",0.0496414339223112
"BLDDEND7","T20_1000MN",-0.00240467207316291
"BLDDEND7","T20_1000SD",0.048549662555579
"BLDDEND7","T20_1100SD",0.0494784859759484
"BLDDEND7","T20_1200SD",0.0493226607529689
"BLDDEND7","T20_1300SD",0.050037859568455
"BLDDEND7","T20_1600SD",0.059851755849823
"BLDDEND7","T20_1700SD",0.0614267223682392
"BLDDEND7","T20_1800SD",-0.110469848065826
"BLDDEND7","T20_1900SD",-0.111784362603385
"BLDDEND7","T20_2000SD",-0.112994551969963
"BLDDEND7","T5_100MN",-0.0155612689017124
"BLDDEND7","T5_50MN",0.0156614879637929
"BLDDEND7","T5_50SD",0.0731182631594508
"BLDDEND7","T5_75MN",-0.00267796472399731
"PCLDEN","BLDADEN",0.0988596948180974
"PCLDEN","BLDADEND1",-0.275645467257547
"PCLDEN","BLDADEND5",0.114226927777451
"PCLDEN","BLDADEND8",0.230669961903863
"PCLDEN","BLDDEND2",0.184972258398694
"PCLDEN","BLDDEND7",0.0553382697017731
"PCLDEN","PCLDEN",1
"PCLDEN","PCLDEND0",-0.809976427437741
"PCLDEN","PCLDEND1",-0.243595082153572
"PCLDEN","PCLDEND2",0.103900815935711
"PCLDEN","PCLDEND4",0.366852978239236
"PCLDEN","PCLDEND5",0.253493543929827
"PCLDEN","PCLDEND6",0.230669961903863
"PCLDEN","RDDEND0",0.0577957570848086
"PCLDEN","RDDEND1",-0.0159377624276402
"PCLDEN","RDDEND2",0.0757274143704253
"PCLDEN","SAGESAND0",-0.260479104718591
"PCLDEN","SAGESAND1",-0.0577110037180626
"PCLDEN","SAGESAND5",0.108863748650773
"PCLDEN","SAGESTR3",0.234961605327999
"PCLDEN","SAGESTRD10",-0.00189158761944637
"PCLDEN","SDENSAN",0.296934247199263
"PCLDEN","SDENSAND10",0.339424615965512
"PCLDEN","SDENSTR",0.244275696944069
"PCLDEN","SDIASTR2",0.143848751535738
"PCLDEN","SDIASTR3",0.0786396588604166
"PCLDEN","SDIASTRD0",0.0390851537990234
"PCLDEN","SDIASTRD4",0.198714398823313
"PCLDEN","SDIASTRD7",-0.00617155035504578
"PCLDEN","SDIASTRD8",0.154091541667682
"PCLDEN","SLOPSAN4",-0.0408705459962537
"PCLDEN","SLOPSAND1",0.179483478542676
"PCLDEN","SLOPSAND6",0.122013312293545
"PCLDEN","SLOPSTR1",0.244275696944069
"PCLDEN","SLOPSTRD0",0.244270758403601
"PCLDEN","SPAGESAN1",-0.315696190245527
"PCLDEN","SPAGESTR3",-0.0205454843672236
"PCLDEN","SPDIASTR2",0.0161506233945878
"PCLDEN","T10_1000MN",0.377514706591135
"PCLDEN","T10_1000SD",0.367969961750915
"PCLDEN","T10_250SD",0.252408203459452
"PCLDEN","T10_400SD",0.270023547514645
"PCLDEN","T10_450MN",0.261730117204448
