VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3
12,B5_STDEV,LN4,-0.111521933
12,LVI_NDVI73M,LN4,0.001135313
12,LVI_WETM,LN4,0.323548296
12,MSxv,LN4,-1.028480174
12,SBSdw,LN4,-2.075378335
12,VRI_BPH_PL,LN4,-0.059680269
12,VRI_BPH_SX,LN4,-0.099493901
12,VRI_HT_AT,LN4,-0.126560386
12,VRI_HT_FD,LN4,-0.005134834
13,B5_STDEV,LN1,-0.023834881
13,LVI_NDVI73M,LN1,0.000375006
13,LVI_WETM,LN1,-0.035663149
13,MSxv,LN1,0.02883847
13,SBPSxc,LN1,-0.05326619
13,SBSdw,LN1,-2.068012094
13,VRI_BPH_PL,LN1,-0.003186249
13,VRI_BPH_SX,LN1,0.002492242
13,VRI_HT_FD,LN1,-0.318061137
13,B5_STDEV,LN2,0.244002013
13,LVI_NDVI73M,LN2,-0.001022536
13,LVI_WETM,LN2,0.403283783
13,MSxv,LN2,0.498078529
13,SBPSxc,LN2,1.613373176
13,SBSdw,LN2,-0.411284031
13,VRI_BPH_PL,LN2,0.002153903
13,VRI_BPH_SX,LN2,0.053677123
13,VRI_HT_FD,LN2,-0.073041021
13,B5_STDEV,LN3,-0.111244588
13,LVI_NDVI73M,LN3,-0.002116298
13,LVI_WETM,LN3,-0.173979226
13,MSxv,LN3,1.640768731
13,SBPSxc,LN3,1.387068209
13,SBSdw,LN3,0.545917882
13,VRI_BPH_PL,LN3,-0.073655941
13,VRI_BPH_SX,LN3,-0.094753536
13,VRI_HT_FD,LN3,-0.035932956
13,B5_STDEV,LN4,-0.138249856
13,LVI_NDVI73M,LN4,0.001151088
13,LVI_WETM,LN4,0.305620642
13,MSxv,LN4,-1.041146517
13,SBPSxc,LN4,0.360479091
13,SBSdw,LN4,-2.573998673
13,VRI_BPH_PL,LN4,-0.054067543
13,VRI_BPH_SX,LN4,-0.100115377
13,VRI_HT_FD,LN4,0.021675046
14,B5_STDEV,LN1,-0.024871906
14,LVI_CENTY,LN1,1.77E-06
14,LVI_NDVI73M,LN1,0.000394374
14,LVI_WETM,LN1,-0.039224131
14,MSxv,LN1,0.073615705
14,SBSdw,LN1,-2.096626946
14,VRI_BPH_PL,LN1,-0.003922112
14,VRI_BPH_SX,LN1,0.00134922
14,VRI_HT_FD,LN1,-0.318182902
14,B5_STDEV,LN2,0.250687228
14,LVI_CENTY,LN2,-9.51E-06
