VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA,NVAR,UERROR,MODELID,NMODELS,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20,VARSETRANK
43,0.687,0.374,0.680,0.694,0.680,0.694,9,0.242,84,1,RDDEND1,SDENSTR,SDIASTRD8,SLOPSTRD0,T20_1100SD,T20_1600SD,T20_1700SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,0.3443473684210526
44,0.778,0.556,0.765,0.792,0.760,0.796,9,0.199,85,1,BLDADEN,BLDADEND5,PCLDEND5,SDENSAND10,SDENSTR,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,0.5349684210526316
45,0.768,0.535,0.755,0.783,0.735,0.800,9,0.214,86,1,BLDADEN,BLDADEND5,SDENSAND10,SDENSTR,SPDIASTR2,T20_1300SD,T20_1900SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,0.5129736842105264
46,0.788,0.575,0.764,0.818,0.735,0.840,9,-1.000,87,1,BLDADEND5,BLDADEND8,PCLDEN,PCLDEND0,SDENSAND10,SDENSTR,SPDIASTR2,T10_850SD,T20_1100SD,N,N,N,N,N,N,N,N,N,N,N,0.5548684210526316
47,0.717,0.435,0.706,0.729,0.700,0.735,9,-1.000,88,1,BLDADEN,PCLDEND5,PCLDEND6,RDDEND1,SDENSTR,SLOPSAND6,SPDIASTR2,T10_850SD,T20_1300SD,N,N,N,N,N,N,N,N,N,N,N,0.4082368421052632
48,0.495,-0.009,0.491,0.500,0.420,0.571,9,-1.000,89,1,BLDADEN,BLDDEND7,PCLDEND4,SDENSAND10,SLOPSTR1,SPDIASTR2,T5_100MN,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,N,N,N,-0.05679473684210526
49,0.778,0.556,0.765,0.792,0.760,0.796,9,0.199,90,1,BLDADEN,BLDADEND5,PCLDEND5,SDENSAND10,SLOPSAND6,SLOPSTR1,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,0.5349684210526316
50,0.758,0.515,0.750,0.766,0.735,0.780,10,0.244,91,1,BLDADEN,BLDADEND5,SDENSAND10,SDENSTR,SLOPSAND1,SPAGESAN1,SPDIASTR2,T10_1000SD,T10_850SD,T20_1800SD,N,N,N,N,N,N,N,N,N,N,0.48933862433862435
51,0.727,0.455,0.712,0.745,0.700,0.755,10,0.227,92,1,BLDADEND1,PCLDEND4,SAGESAND1,SDENSAN,SDENSAND10,SPAGESAN1,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1300SD,N,N,N,N,N,N,N,N,N,N,0.4261640211640212
52,0.727,0.454,0.725,0.729,0.714,0.740,10,-1.000,93,1,BLDADEND8,PCLDEN,PCLDEND0,RDDEND1,SDENSTR,SPAGESTR3,SPDIASTR2,T10_650SD,T20_1200SD,T20_1300SD,N,N,N,N,N,N,N,N,N,N,0.4251111111111111
53,0.727,0.454,0.709,0.750,0.673,0.780,10,0.228,94,1,BLDADEND5,PCLDEND1,SAGESTR3,SDENSAND10,T10_1000MN,T20_1000MN,T20_1300SD,T20_2000SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,0.4251111111111111
54,0.737,0.474,0.731,0.745,0.714,0.760,10,0.209,95,1,RDDEND1,SDENSAND10,SDENSTR,SPAGESAN1,SPAGESTR3,SPDIASTR2,T10_400SD,T20_1300SD,T20_1600SD,T20_1700SD,N,N,N,N,N,N,N,N,N,N,0.44616931216931216
55,0.485,-0.029,0.482,0.488,0.420,0.551,10,-1.000,96,1,BLDADEN,PCLDEND5,RDDEND1,SAGESTRD10,SDENSAND10,SDENSTR,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,-0.08344444444444445
56,0.737,0.474,0.731,0.745,0.714,0.760,10,0.233,97,1,BLDADEN,SDENSTR,SDIASTRD7,SLOPSAND6,SLOPSTRD0,SPDIASTR2,T10_650SD,T20_1300SD,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,N,N,0.44616931216931216
57,0.737,0.474,0.731,0.745,0.714,0.760,10,-1.000,98,1,BLDADEN,BLDADEND5,SLOPSAN4,SLOPSAND6,SPDIASTR2,T10_700SD,T10_850SD,T20_1300SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,0.44616931216931216
58,0.768,0.535,0.755,0.783,0.735,0.800,10,0.213,99,1,BLDADEN,BLDADEND5,SDENSAND10,SDENSTR,SLOPSTRD0,SPDIASTR2,T20_1300SD,T20_1800SD,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,0.5103968253968254
59,0.758,0.515,0.750,0.766,0.735,0.780,10,0.197,100,1,BLDADEND1,BLDADEND5,PCLDEND5,RDDEND1,SDENSAND10,SDENSTR,SLOPSAND6,SPDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,0.48933862433862435
60,0.747,0.495,0.740,0.755,0.740,0.755,11,0.196,102,1,BLDADEN,PCLDEND4,SDENSTR,SDIASAN1,SDIASTRD7,SLOPSAND6,SPDIASTR2,T10_850SD,T20_1300SD,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,N,0.46545212765957444
61,0.697,0.393,0.679,0.721,0.633,0.760,11,-1.000,103,1,BLDADEND5,BLDADEND8,PCLDEN,PCLDEND0,SDIASTRD8,SPDIASTR5,T10_400MN,T10_850SD,T20_1300SD,T20_1800SD,TSLOPE,N,N,N,N,N,N,N,N,N,0.3574840425531915
62,0.758,0.515,0.736,0.783,0.720,0.796,11,0.207,104,1,BLDADEND1,SAGESAND1,SDENSAN,SDENSAND10,SPAGESAN1,SPAGESTR3,SPDIASTR2,T10_850SD,T20_1300SD,T20_1600SD,T20_1700SD,N,N,N,N,N,N,N,N,N,0.48662234042553193
