,,VAL,RANK,AVGP
BLDADEN,46,0.18209810284,47.0,0.474747474747
BLDADEN,47,0.182776939398,48.0,0.484848484848
BLDADEN,48,0.183756578205,49.0,0.494949494949
BLDADEN,49,0.18429681105,50.0,0.505050505051
BLDADEN,50,0.185102265878,51.0,0.515151515152
BLDADEN,51,0.185728482468,52.0,0.525252525253
BLDADEN,52,0.188081052741,53.0,0.535353535354
BLDADEN,53,0.18836327013,54.0,0.545454545455
BLDADEN,54,0.190758219761,55.0,0.555555555556
BLDADEN,55,0.191110763721,56.0,0.565656565657
BLDADEN,56,0.191421397739,57.0,0.575757575758
BLDADEN,57,0.19236251823,58.0,0.585858585859
BLDADEN,58,0.193985329646,59.0,0.59595959596
BLDADEN,59,0.194307032987,60.0,0.606060606061
BLDADEN,60,0.195633933458,61.0,0.616161616162
BLDADEN,61,0.196522228323,62.0,0.626262626263
BLDADEN,62,0.197579437393,63.0,0.636363636364
BLDADEN,63,0.19916212999,64.0,0.646464646465
BLDADEN,64,0.201021465569,65.0,0.656565656566
BLDADEN,65,0.204911492181,66.0,0.666666666667
BLDADEN,66,0.207944000854,67.0,0.676767676768
BLDADEN,67,0.211744475282,68.0,0.686868686869
BLDADEN,68,0.212876168698,69.0,0.69696969697
BLDADEN,69,0.214773284875,70.0,0.707070707071
BLDADEN,70,0.214833116486,71.0,0.717171717172
BLDADEN,71,0.227279209672,72.0,0.727272727273
BLDADEN,72,0.227412465089,73.0,0.737373737374
BLDADEN,73,0.229303366898,74.0,0.747474747475
BLDADEN,74,0.234500162443,75.0,0.757575757576
BLDADEN,75,0.236785820702,76.0,0.767676767677
BLDADEN,76,0.238382793303,77.0,0.777777777778
BLDADEN,77,0.240110668153,78.0,0.787878787879
BLDADEN,78,0.240522141496,79.0,0.79797979798
BLDADEN,79,0.244343333032,80.0,0.808080808081
BLDADEN,80,0.249157401098,81.0,0.818181818182
BLDADEN,81,0.250730680124,82.0,0.828282828283
BLDADEN,82,0.261173386196,83.0,0.838383838384
BLDADEN,83,0.262986480677,84.0,0.848484848485
BLDADEN,84,0.266914877489,85.0,0.858585858586
BLDADEN,85,0.267740526026,86.0,0.868686868687
BLDADEN,86,0.275127749455,87.0,0.878787878788
BLDADEN,87,0.278715982162,88.0,0.888888888889
BLDADEN,88,0.288819562859,89.0,0.89898989899
