"VARSET2","CLASS2","VARNAMES2","MEANS2"
49,0,"SDENSTR",0.0338100779201485
49,1,"SDENSTR",0.0406710985381146
49,0,"SDENSTRD10",0.82
49,1,"SDENSTRD10",0.938775510204082
49,0,"SDIASTRD8",0.00634682
49,1,"SDIASTRD8",0.00200787755102041
49,0,"SLOPSAN2",0.000854172520962291
49,1,"SLOPSAN2",0.00230552765168378
49,0,"SLOPSAND6",0.00362542
49,1,"SLOPSAND6",0.00236922448979592
49,0,"SPDIASTRC",1.72
49,1,"SPDIASTRC",1.79591836734694
49,0,"T10_750SD",14.5206737920415
49,1,"T10_750SD",11.8223442179202
50,0,"OICP",0.36
50,1,"OICP",0.489795918367347
50,0,"PCLDEND0",0.04
50,1,"PCLDEND0",0.183673469387755
50,0,"PCLDEND6",0.02
50,1,"PCLDEND6",0
50,0,"RDDEND1",0.74
50,1,"RDDEND1",0.489795918367347
50,0,"SAGESAND3",0.00266728
50,1,"SAGESAND3",0.00302540816326531
50,0,"SDENSTRD10",0.82
50,1,"SDENSTRD10",0.938775510204082
50,0,"SDIASTRD8",0.00634682
50,1,"SDIASTRD8",0.00200787755102041
50,0,"SPDIASTRC",1.72
50,1,"SPDIASTRC",1.79591836734694
50,0,"T10_550SD",9.72383860789052
50,1,"T10_550SD",10.6348266376802
50,0,"TSLOPE",6.55822098377637
50,1,"TSLOPE",7.50502803674389
51,0,"PCLDEND6",0.02
51,1,"PCLDEND6",0
51,0,"RDDEND1",0.74
51,1,"RDDEND1",0.489795918367347
51,0,"SAGESAND0",0
51,1,"SAGESAND0",0.000749734693877551
51,0,"SDENSTR",0.0338100779201485
51,1,"SDENSTR",0.0406710985381146
51,0,"SDENSTRD10",0.82
51,1,"SDENSTRD10",0.938775510204082
51,0,"SDIASTRD0",7.582e-05
51,1,"SDIASTRD0",0
51,0,"SDIASTRD8",0.00634682
51,1,"SDIASTRD8",0.00200787755102041
51,0,"SLOPSAND6",0.00362542
51,1,"SLOPSAND6",0.00236922448979592
51,0,"SPAGESAN2",0.12
51,1,"SPAGESAN2",0.122448979591837
51,0,"SPDIASTRC",1.72
51,1,"SPDIASTRC",1.79591836734694
52,0,"HSLWP",0.06
52,1,"HSLWP",0.142857142857143
52,0,"PCLDEND0",0.04
52,1,"PCLDEND0",0.183673469387755
52,0,"PCLDEND4",0.06
