VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3,Y0,Y1,Z0,Z1,DFCOEF3_ADJ,Z0_ADJ,Z1_ADJ,SD,B*,LOADING,RL,RANK
27,PCLDEND4,LN1,1.7528101213,0.06,0.163265306122,0.966811356865,2.24753118758,1.7528101213,0.966811356865,2.24753118758,0.315869027653,0.553658428675,0.358393385567,0.653360103801,3.0
27,SAGESAND0,LN1,525.881222984,0.0,0.000749734693878,0.966811356865,2.24753118758,525.881222984,0.966811356865,2.24753118758,0.00173941037205,0.914723253723,0.472517769597,0.86141170966,2.0
27,SDENSAND10,LN1,-1.6865025781,0.9,0.734693877551,0.966811356865,2.24753118758,-1.6865025781,0.966811356865,2.24753118758,0.522232967867,-0.880747246679,-0.347006209695,-0.632600997441,7.0
27,SDENSTRD10,LN1,1.10569259645,0.82,0.938775510204,0.966811356865,2.24753118758,1.10569259645,0.966811356865,2.24753118758,0.558290526239,0.617297701533,0.233227221727,0.425179057242,4.0
27,SPAGESAN2,LN1,-2.05346568619,0.12,0.122448979592,0.966811356865,2.24753118758,-2.05346568619,0.966811356865,2.24753118758,0.328034569878,-0.673607733129,0.00818423600335,0.0149200668875,5.0
27,SPAGESTR3,LN1,2.05063540914,0.88,1.0,0.966811356865,2.24753118758,2.05063540914,0.966811356865,2.24753118758,0.239820588476,0.491784590569,0.548538827947,1.0,1.0
27,T20_1200MN,LN1,-0.00846103359351,10.08341782,3.66833848752,0.966811356865,2.24753118758,-0.00846103359351,0.966811356865,2.24753118758,25.2833176517,-0.213923000007,-0.27815095985,-0.507076155194,6.0
28,PCLDEND4,LN1,0.838192861711,0.06,0.163265306122,-0.6467644233,0.750478559577,0.838192861711,-0.6467644233,0.750478559577,0.315869027653,0.264759164214,0.346942438177,0.758475995246,2.0
28,PCLDEND6,LN1,-6.69513753184,0.02,0.0,-0.6467644233,0.750478559577,-6.69513753184,-0.6467644233,0.750478559577,0.100503781526,-0.672886639786,-0.211182353673,-0.461681040585,4.0
28,RDDEN,LN1,-23.1093654512,0.04717518,0.0415864489796,-0.6467644233,0.750478559577,-23.1093654512,-0.6467644233,0.750478559577,0.0272652203833,-0.630081941945,-0.21752752999,-0.475552690151,5.0
