TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
196,CLIMATE_All_Photoplots_MSY,PAS02,CLP_PAS02,float,,,Feb precip as snow (mm)
197,CLIMATE_All_Photoplots_MSY,PAS03,CLP_PAS03,float,,,Mar precip as snow (mm)
198,CLIMATE_All_Photoplots_MSY,PAS04,CLP_PAS04,float,,,April precip as snow (mm)
199,CLIMATE_All_Photoplots_MSY,PAS05,CLP_PAS05,float,,,May precip as snow (mm)
200,CLIMATE_All_Photoplots_MSY,PAS06,CLP_PAS06,float,,,June precip as snow (mm)
201,CLIMATE_All_Photoplots_MSY,PAS07,CLP_PAS07,float,,,July precip as snow (mm)
202,CLIMATE_All_Photoplots_MSY,PAS08,CLP_PAS08,float,,,Aug precip as snow (mm)
203,CLIMATE_All_Photoplots_MSY,PAS09,CLP_PAS09,float,,,Sept precip as snow (mm)
204,CLIMATE_All_Photoplots_MSY,PAS10,CLP_PAS10,float,,,Oct precip as snow (mm)
205,CLIMATE_All_Photoplots_MSY,PAS11,CLP_PAS11,float,,,Nov precip as snow (mm)
206,CLIMATE_All_Photoplots_MSY,PAS12,CLP_PAS12,float,,,Dec precip as snow (mm)
207,CLIMATE_All_Photoplots_MSY,Eref01,CLP_Eref01,float,,,Jan Hargreaves ref evaporation
208,CLIMATE_All_Photoplots_MSY,Eref02,CLP_Eref02,float,,,Feb Hargreaves ref evaporation
209,CLIMATE_All_Photoplots_MSY,Eref03,CLP_Eref03,float,,,Mar Hargreaves ref evaporation
210,CLIMATE_All_Photoplots_MSY,Eref04,CLP_Eref04,float,,,April Hargreaves ref evaporation
211,CLIMATE_All_Photoplots_MSY,Eref05,CLP_Eref05,float,,,May Hargreaves ref evaporation
212,CLIMATE_All_Photoplots_MSY,Eref06,CLP_Eref06,float,,,June Hargreaves ref evaporation
213,CLIMATE_All_Photoplots_MSY,Eref07,CLP_Eref07,float,,,July Hargreaves ref evaporation
214,CLIMATE_All_Photoplots_MSY,Eref08,CLP_Eref08,float,,,Aug Hargreaves ref evaporation
215,CLIMATE_All_Photoplots_MSY,Eref09,CLP_Eref09,float,,,Sept Hargreaves ref evaporation
216,CLIMATE_All_Photoplots_MSY,Eref10,CLP_Eref10,float,,,Oct Hargreaves ref evaporation
217,CLIMATE_All_Photoplots_MSY,Eref11,CLP_Eref11,float,,,Nov Hargreaves ref evaporation
218,CLIMATE_All_Photoplots_MSY,Eref12,CLP_Eref12,float,,,Dec Hargreaves ref evaporation
219,CLIMATE_All_Photoplots_MSY,CMD01,CLP_CMD01,float,,,Jan Hargreaves climatic moisture deficit
220,CLIMATE_All_Photoplots_MSY,CMD02,CLP_CMD02,float,,,Feb Hargreaves climatic moisture deficit
221,CLIMATE_All_Photoplots_MSY,CMD03,CLP_CMD03,float,,,Mar Hargreaves climatic moisture deficit
222,CLIMATE_All_Photoplots_MSY,CMD04,CLP_CMD04,float,,,April Hargreaves climatic moisture deficit
223,CLIMATE_All_Photoplots_MSY,CMD05,CLP_CMD05,float,,,May Hargreaves climatic moisture deficit
224,CLIMATE_All_Photoplots_MSY,CMD06,CLP_CMD06,float,,,June Hargreaves climatic moisture deficit
225,CLIMATE_All_Photoplots_MSY,CMD07,CLP_CMD07,float,,,July Hargreaves climatic moisture deficit
226,CLIMATE_All_Photoplots_MSY,CMD08,CLP_CMD08,float,,,Aug Hargreaves climatic moisture deficit
227,CLIMATE_All_Photoplots_MSY,CMD09,CLP_CMD09,float,,,Sept Hargreaves climatic moisture deficit
228,CLIMATE_All_Photoplots_MSY,CMD10,CLP_CMD10,float,,,Oct Hargreaves climatic moisture deficit
229,CLIMATE_All_Photoplots_MSY,CMD11,CLP_CMD11,float,,,Nov Hargreaves climatic moisture deficit
230,CLIMATE_All_Photoplots_MSY,CMD12,CLP_CMD12,float,,,Dec Hargreaves climatic moisture deficit
231,CLIMATE_All_Photoplots_MSY,Tmax_wt,CLP_Tmax_wt,float,,,winter mean max temp (C)
232,CLIMATE_All_Photoplots_MSY,Tmax_sp,CLP_Tmax_sp,float,,,spring mean max temp (C)
233,CLIMATE_All_Photoplots_MSY,Tmax_sm,CLP_Tmax_sm,float,,,summer mean max temp (C)
234,CLIMATE_All_Photoplots_MSY,Tmax_at,CLP_Tmax_at,float,,,autumn mean max temp (C)
235,CLIMATE_All_Photoplots_MSY,Tmin_wt,CLP_Tmin_wt,float,,,winter mean min temp (C)
236,CLIMATE_All_Photoplots_MSY,Tmin_sp,CLP_Tmin_sp,float,,,spring mean min temp (C)
237,CLIMATE_All_Photoplots_MSY,Tmin_sm,CLP_Tmin_sm,float,,,summer mean min temp (C)
238,CLIMATE_All_Photoplots_MSY,Tmin_at,CLP_Tmin_at,float,,,autumn mean min temp (C)
239,CLIMATE_All_Photoplots_MSY,Tave_wt,CLP_Tave_wt,float,,,winter (Dec-Feb) mean temp (C)
240,CLIMATE_All_Photoplots_MSY,Tave_sp,CLP_Tave_sp,float,,,spring (Mar-May) mean temp (C)
241,CLIMATE_All_Photoplots_MSY,Tave_sm,CLP_Tave_sm,float,,,summer (June-Aug) mean temp (C)
242,CLIMATE_All_Photoplots_MSY,Tave_at,CLP_Tave_at,float,,,autumn (Sept-Nov) mean temp (C)
243,CLIMATE_All_Photoplots_MSY,PPT_wt,CLP_PPT_wt,float,,,winter precip (mm)
244,CLIMATE_All_Photoplots_MSY,PPT_sp,CLP_PPT_sp,float,,,spring precip (mm)
245,CLIMATE_All_Photoplots_MSY,PPT_sm,CLP_PPT_sm,float,,,summer precip (mm)
246,CLIMATE_All_Photoplots_MSY,PPT_at,CLP_PPT_at,float,,,autumn precip (mm)
247,CLIMATE_All_Photoplots_MSY,DD_0_wt,CLP_DD_0_wt,float,,,degree days below 0C - winter
248,CLIMATE_All_Photoplots_MSY,DD_0_sp,CLP_DD_0_sp,float,,,degree days below 0C - spring
249,CLIMATE_All_Photoplots_MSY,DD_0_sm,CLP_DD_0_sm,float,,,degree days below 0C - summer
250,CLIMATE_All_Photoplots_MSY,DD_0_at,CLP_DD_0_at,float,,,degree days below 0C - autumn
251,CLIMATE_All_Photoplots_MSY,DD5_wt,CLP_DD5_wt,float,,,degree days above 5C - winter
252,CLIMATE_All_Photoplots_MSY,DD5_sp,CLP_DD5_sp,float,,,degree days above 5C - spring
253,CLIMATE_All_Photoplots_MSY,DD5_sm,CLP_DD5_sm,float,,,degree days above 5C - summer
254,CLIMATE_All_Photoplots_MSY,DD5_at,CLP_DD5_at,float,,,degree days above 5C - autumn
255,CLIMATE_All_Photoplots_MSY,DD_18_wt,CLP_DD_18_wt,float,,,degree days below 18C - winter
256,CLIMATE_All_Photoplots_MSY,DD_18_sp,CLP_DD_18_sp,float,,,degree days below 18C - spring
257,CLIMATE_All_Photoplots_MSY,DD_18_sm,CLP_DD_18_sm,float,,,degree days below 18C - summer
258,CLIMATE_All_Photoplots_MSY,DD_18_at,CLP_DD_18_at,float,,,degree days below 18C - autumn
259,CLIMATE_All_Photoplots_MSY,DD18_wt,CLP_DD18_wt,float,,,degree days above 18C - winter
260,CLIMATE_All_Photoplots_MSY,DD18_sp,CLP_DD18_sp,float,,,degree days above 18C - spring
261,CLIMATE_All_Photoplots_MSY,DD18_sm,CLP_DD18_sm,float,,,degree days above 18C - summer
262,CLIMATE_All_Photoplots_MSY,DD18_at,CLP_DD18_at,float,,,degree days above 18C - autumn
263,CLIMATE_All_Photoplots_MSY,NFFD_wt,CLP_NFFD_wt,float,,,number of frost free days - winter
264,CLIMATE_All_Photoplots_MSY,NFFD_sp,CLP_NFFD_sp,float,,,number of frost free days - spring
265,CLIMATE_All_Photoplots_MSY,NFFD_sm,CLP_NFFD_sm,float,,,number of frost free days - summer
266,CLIMATE_All_Photoplots_MSY,NFFD_at,CLP_NFFD_at,float,,,number of frost free days - autumn
267,CLIMATE_All_Photoplots_MSY,PAS_wt,CLP_PAS_wt,float,,,precip as snow (mm) - winter
268,CLIMATE_All_Photoplots_MSY,PAS_sp,CLP_PAS_sp,float,,,precip as snow (mm) - spring
269,CLIMATE_All_Photoplots_MSY,PAS_sm,CLP_PAS_sm,float,,,precip as snow (mm) - summer
270,CLIMATE_All_Photoplots_MSY,PAS_at,CLP_PAS_at,float,,,precip as snow (mm) - autumn
271,CLIMATE_All_Photoplots_MSY,Eref_wt,CLP_Eref_wt,float,,,Hargreaves ref evap - winter
272,CLIMATE_All_Photoplots_MSY,Eref_sp,CLP_Eref_sp,float,,,Hargreaves ref evap - spring
273,CLIMATE_All_Photoplots_MSY,Eref_sm,CLP_Eref_sm,float,,,Hargreaves ref evap - summer
274,CLIMATE_All_Photoplots_MSY,Eref_at,CLP_Eref_at,float,,,Hargreaves ref evap - autumn
275,CLIMATE_All_Photoplots_MSY,CMD_wt,CLP_CMD_wt,float,,,Hargreaves climatic moisture deficit - winter
276,CLIMATE_All_Photoplots_MSY,CMD_sp,CLP_CMD_sp,float,,,Hargreaves climatic moisture deficit - spring
