TVID,VARNAME,XVARSEL
555,SAGESTR5,X
556,SAGESTRD0,X
557,SAGESTRD1,X
558,SAGESTRD2,X
559,SAGESTRD3,X
560,SAGESTRD4,X
561,SAGESTRD5,X
562,SAGESTRD6,X
563,SAGESTRD7,X
564,SAGESTRD8,X
565,SAGESTRD9,X
566,SAGESTRD10,X
567,SCOMZERO,X
568,SDEN,N
569,SDENCOM,X
570,SDENCOMD10,X
571,SDEND10,N
572,SDENOTH,X
573,SDENOTHD10,X
574,SDENSAN,X
575,SDENSAND10,X
576,SDENSTR,X
577,SDENSTRD10,X
578,SDIA0,N
579,SDIA1,N
580,SDIA2,N
581,SDIA3,N
582,SDIA4,N
583,SDIA5,N
584,SDIA6,N
585,SDIACOM0,X
586,SDIACOM1,X
587,SDIACOM2,X
588,SDIACOM3,X
589,SDIACOM4,X
590,SDIACOM5,X
591,SDIACOM6,X
592,SDIACOMD0,X
593,SDIACOMD1,X
594,SDIACOMD2,X
595,SDIACOMD3,X
596,SDIACOMD4,X
597,SDIACOMD5,X
598,SDIACOMD6,X
599,SDIACOMD7,X
600,SDIACOMD8,X
601,SDIACOMD9,X
602,SDIACOMD10,X
603,SDIAD0,N
604,SDIAD1,N
605,SDIAD2,N
606,SDIAD3,N
607,SDIAD4,N
608,SDIAD5,N
609,SDIAD6,N
610,SDIAD7,N
611,SDIAD8,N
612,SDIAD9,N
613,SDIAD10,N
614,SDIAOTH0,X
615,SDIAOTH1,X
616,SDIAOTH2,X
617,SDIAOTH3,X
618,SDIAOTH4,X
619,SDIAOTH5,X
620,SDIAOTH6,X
621,SDIAOTHD0,X
622,SDIAOTHD1,X
623,SDIAOTHD2,X
624,SDIAOTHD3,X
625,SDIAOTHD4,X
626,SDIAOTHD5,X
627,SDIAOTHD6,X
628,SDIAOTHD7,X
629,SDIAOTHD8,X
630,SDIAOTHD9,X
631,SDIAOTHD10,X
632,SDIASAN0,X
633,SDIASAN1,X
634,SDIASAN2,X
635,SDIASAN3,X
636,SDIASAN4,X
637,SDIASAN5,X
638,SDIASAN6,X
639,SDIASAND0,X
640,SDIASAND1,X
641,SDIASAND2,X
642,SDIASAND3,X
643,SDIASAND4,X
644,SDIASAND5,X
645,SDIASAND6,X
646,SDIASAND7,X
647,SDIASAND8,X
648,SDIASAND9,X
649,SDIASAND10,X
650,SDIASTR0,X
651,SDIASTR1,X
652,SDIASTR2,X
653,SDIASTR3,X
654,SDIASTR4,X
655,SDIASTR5,X
656,SDIASTR6,X
657,SDIASTRD0,X
658,SDIASTRD1,X
659,SDIASTRD2,X
660,SDIASTRD3,X
661,SDIASTRD4,X
662,SDIASTRD5,X
663,SDIASTRD6,X
664,SDIASTRD7,X
665,SDIASTRD8,X
666,SDIASTRD9,X
667,SDIASTRD10,X
668,SLOP0,N
669,SLOP1,N
670,SLOP2,N
671,SLOP3,N
672,SLOP4,N
673,SLOP5,N
674,SLOPCOM0,X
675,SLOPCOM1,X
676,SLOPCOM2,X
677,SLOPCOM3,X
678,SLOPCOM4,X
679,SLOPCOM5,X
680,SLOPCOMD0,X
681,SLOPCOMD1,X
682,SLOPCOMD2,X
683,SLOPCOMD3,X
684,SLOPCOMD4,X
685,SLOPCOMD5,X
686,SLOPCOMD6,X
687,SLOPCOMD7,X
688,SLOPCOMD8,X
689,SLOPCOMD9,X
690,SLOPCOMD10,X
691,SLOPD0,N
692,SLOPD1,N
693,SLOPD2,N
694,SLOPD3,N
695,SLOPD4,N
696,SLOPD5,N
697,SLOPD6,N
698,SLOPD7,N
699,SLOPD8,N
700,SLOPD9,N
701,SLOPD10,N
702,SLOPOTH0,X
703,SLOPOTH1,X
704,SLOPOTH2,X
705,SLOPOTH3,X
706,SLOPOTH4,X
707,SLOPOTH5,X
708,SLOPOTHD0,X
709,SLOPOTHD1,X
710,SLOPOTHD2,X
711,SLOPOTHD3,X
712,SLOPOTHD4,X
713,SLOPOTHD5,X
714,SLOPOTHD6,X
715,SLOPOTHD7,X
716,SLOPOTHD8,X
717,SLOPOTHD9,X
718,SLOPOTHD10,X
719,SLOPSAN0,X
720,SLOPSAN1,X
721,SLOPSAN2,X
722,SLOPSAN3,X
723,SLOPSAN4,X
724,SLOPSAN5,X
725,SLOPSAND0,X
726,SLOPSAND1,X
727,SLOPSAND2,X
728,SLOPSAND3,X
729,SLOPSAND4,X
730,SLOPSAND5,X
731,SLOPSAND6,X
732,SLOPSAND7,X
733,SLOPSAND8,X
734,SLOPSAND9,X
735,SLOPSAND10,X
736,SLOPSTR0,X
737,SLOPSTR1,X
738,SLOPSTR2,X
739,SLOPSTR3,X
740,SLOPSTR4,X
741,SLOPSTR5,X
742,SLOPSTRD0,X
743,SLOPSTRD1,X
744,SLOPSTRD2,X
745,SLOPSTRD3,X
746,SLOPSTRD4,X
747,SLOPSTRD5,X
748,SLOPSTRD6,X
749,SLOPSTRD7,X
750,SLOPSTRD8,X
751,SLOPSTRD9,X
752,SLOPSTRD10,X
753,SPAGE0,N
754,SPAGE1,N
755,SPAGE2,N
756,SPAGE3,N
757,SPAGE4,N
758,SPAGE5,N
759,SPAGECOM0,X
760,SPAGECOM1,X
761,SPAGECOM2,X
762,SPAGECOM3,X
763,SPAGECOM4,X
764,SPAGECOM5,X
765,SPAGEOTH0,X
766,SPAGEOTH1,X
767,SPAGEOTH2,X
768,SPAGEOTH3,X
769,SPAGEOTH4,X
770,SPAGEOTH5,X
771,SPAGESAN0,X
772,SPAGESAN1,X
773,SPAGESAN2,X
774,SPAGESAN3,X
775,SPAGESAN4,X
776,SPAGESAN5,X
777,SPAGESTR0,X
778,SPAGESTR1,X
779,SPAGESTR2,X
780,SPAGESTR3,X
781,SPAGESTR4,X
782,SPAGESTR5,X
783,SPCOM,X
784,SPDIA0,N
785,SPDIA1,N
786,SPDIA2,N
787,SPDIA3,N
788,SPDIA4,N
789,SPDIA5,N
790,SPDIA6,N
791,SPDIACOM0,X
792,SPDIACOM1,X
793,SPDIACOM2,X
794,SPDIACOM3,X
795,SPDIACOM4,X
796,SPDIACOM5,X
797,SPDIACOM6,X
798,SPDIAOTH0,X
799,SPDIAOTH1,X
800,SPDIAOTH2,X
801,SPDIAOTH3,X
802,SPDIAOTH4,X
803,SPDIAOTH5,X
804,SPDIAOTH6,X
805,SPDIASAN0,X
806,SPDIASAN1,X
807,SPDIASAN2,X
808,SPDIASAN3,X
809,SPDIASAN4,X
810,SPDIASAN5,X
811,SPDIASAN6,X
812,SPDIASTR0,X
813,SPDIASTR1,N
814,SPDIASTR2,X
815,SPDIASTR3,X
816,SPDIASTR4,N
817,SPDIASTR5,X
818,SPDIASTR6,X
819,SPOTH,X
820,SPSAN,X
821,SPSEW,N
822,SPSLP0,N
823,SPSLP1,N
824,SPSLP2,N
825,SPSLP3,N
826,SPSLP4,N
827,SPSLP5,N
828,SPSLPCOM0,X
829,SPSLPCOM1,X
830,SPSLPCOM2,X
831,SPSLPCOM3,X
832,SPSLPCOM4,X
833,SPSLPCOM5,X
834,SPSLPOTH0,X
835,SPSLPOTH1,X
836,SPSLPOTH2,X
837,SPSLPOTH3,X
838,SPSLPOTH4,X
839,SPSLPOTH5,X
840,SPSLPSAN0,X
841,SPSLPSAN1,X
842,SPSLPSAN2,X
843,SPSLPSAN3,X
844,SPSLPSAN4,X
845,SPSLPSAN5,X
846,SPSLPSTR0,X
847,SPSLPSTR1,X
848,SPSLPSTR2,X
849,SPSLPSTR3,X
850,SPSLPSTR4,X
851,SPSLPSTR5,X
852,SPSTR,X
853,SSH1,X
854,SSH2,X
855,SSH3,X
856,SSH4,X
857,SSH5,X
858,SSH6,X
