"VARSET2","CLASS2","VARNAMES2","MEANS2"
19,0,"L039",0.0104808877928483
19,1,"L039",0.0492396813902969
19,0,"OICP",0.381011097410604
19,1,"OICP",0.485155684286749
19,0,"RDDEN",0.0357690875462392
19,1,"RDDEN",0.0329483091962346
19,0,"RDP",0.875462392108508
19,1,"RDP",0.923968139029689
19,0,"SLOPSTR1",0.0359819949198238
19,1,"SLOPSTR1",0.0348719320600704
19,0,"SPAGESAN3",0.625154130702836
19,1,"SPAGESAN3",0.694424330195511
19,0,"SPDIASTRC",1.30826140567201
19,1,"SPDIASTRC",1.56408399710355
19,0,"SSH7_25",0.130702836004932
19,1,"SSH7_25",0.274438812454743
20,0,"BLDADEN",0.219108679613829
20,1,"BLDADEN",0.22872441890272
20,0,"GWTRTB1YB",0.00369913686806412
20,1,"GWTRTB1YB",0.000724112961622013
20,0,"L039",0.0104808877928483
20,1,"L039",0.0492396813902969
20,0,"OICP",0.381011097410604
20,1,"OICP",0.485155684286749
20,0,"RDDEN",0.0357690875462392
20,1,"RDDEN",0.0329483091962346
20,0,"RDP",0.875462392108508
20,1,"RDP",0.923968139029689
20,0,"SAGESAND9",0.00597577373612824
20,1,"SAGESAND9",0.00328886531498914
20,0,"SPDIASTRC",1.30826140567201
20,1,"SPDIASTRC",1.56408399710355
20,0,"SSH7_25",0.130702836004932
20,1,"SSH7_25",0.274438812454743
21,0,"GWTRTB4YU",0.777435265104809
21,1,"GWTRTB4YU",0.651701665459812
21,0,"L032",0.284217016029593
21,1,"L032",0.21216509775525
21,0,"L039",0.0104808877928483
21,1,"L039",0.0492396813902969
21,0,"OICP",0.381011097410604
21,1,"OICP",0.485155684286749
21,0,"PCLDEND1",0.237361282367448
21,1,"PCLDEND1",0.169442433019551
21,0,"SAGESAND9",0.00597577373612824
21,1,"SAGESAND9",0.00328886531498914
21,0,"SLOPSTR1",0.0359819949198238
21,1,"SLOPSTR1",0.0348719320600704
21,0,"SPDIASTRC",1.30826140567201
21,1,"SPDIASTRC",1.56408399710355
21,0,"SSH7_25",0.130702836004932
21,1,"SSH7_25",0.274438812454743
22,0,"BLDADEN",0.219108679613829
22,1,"BLDADEN",0.22872441890272
22,0,"L039",0.0104808877928483
22,1,"L039",0.0492396813902969
22,0,"OICP",0.381011097410604
22,1,"OICP",0.485155684286749
22,0,"RDDEN",0.0357690875462392
22,1,"RDDEN",0.0329483091962346
22,0,"RDP",0.875462392108508
22,1,"RDP",0.923968139029689
22,0,"SAGESAND9",0.00597577373612824
22,1,"SAGESAND9",0.00328886531498914
22,0,"SDIASTRD10",0.000107414303329223
22,1,"SDIASTRD10",4.01622013034033e-05
22,0,"SPDIASTRC",1.30826140567201
22,1,"SPDIASTRC",1.56408399710355
22,0,"SSH7_25",0.130702836004932
22,1,"SSH7_25",0.274438812454743
23,0,"BLDADEN",0.219108679613829
23,1,"BLDADEN",0.22872441890272
23,0,"L039",0.0104808877928483
23,1,"L039",0.0492396813902969
23,0,"OICP",0.381011097410604
23,1,"OICP",0.485155684286749
23,0,"RDDEN",0.0357690875462392
23,1,"RDDEN",0.0329483091962346
23,0,"RDDEND2",0
23,1,"RDDEND2",0.00144822592324403
23,0,"RDP",0.875462392108508
23,1,"RDP",0.923968139029689
23,0,"SLOPSTR1",0.0359819949198238
23,1,"SLOPSTR1",0.0348719320600704
23,0,"SPAGESAN3",0.625154130702836
23,1,"SPAGESAN3",0.694424330195511
23,0,"SPDIASTRC",1.30826140567201
23,1,"SPDIASTRC",1.56408399710355
