TVID,VARNAME,XVARSEL
1018,WOCEEDV,N
493,SAGECOM5,X
1075,WSTRCV20P,N
682,SLOPCOMD2,X
683,SLOPCOMD3,X
680,SLOPCOMD0,X
681,SLOPCOMD1,X
686,SLOPCOMD6,X
687,SLOPCOMD7,X
684,SLOPCOMD4,X
685,SLOPCOMD5,X
1017,WOCEEDH,N
1010,WOCECH500,N
688,SLOPCOMD8,X
554,SAGESTR4,X
553,SAGESTR3,N
552,SAGESTR2,X
551,SAGESTR1,X
550,SAGESTR0,X
920,T10_950MN,N
782,SPAGESTR5,X
844,SPSLPSAN4,X
777,SPAGESTR0,X
778,SPAGESTR1,X
216,L059,X
239,L191,X
214,L057,X
213,L056,X
212,L055,X
1041,WRESCH500P,N
210,L053,X
209,L052,X
208,L051,X
207,L050,X
28,BLDDEND3,X
27,BLDDEND2,X
601,SDIACOMD9,X
345,L458,X
32,BLDDEND7,X
1042,WRESCV05,N
30,BLDDEND5,X
1003,WLRVEDV,N
595,SDIACOMD3,X
424,MDITCH500P,N
34,BLDDEND9,X
33,BLDDEND8,X
599,SDIACOMD7,X
598,SDIACOMD6,X
597,SDIACOMD5,X
31,BLDDEND6,X
168,ISTPCV20,N
1007,WOCECH050,N
510,SAGED5,N
480,RDDENI,X
29,BLDDEND4,X
116,HSLWCV05,N
59,CLTOT39P,N
728,SLOPSAND3,X
370,L580,X
179,ITRECH500,N
593,SDIACOMD1,X
898,T10_400MN,N
64,FLDDGN,X
226,L130,X
47,CLPRD31P,N
817,SPDIASTR5,X
227,L131,X
107,HCH500,N
422,MDITCH200,N
1038,WRESCH100,N
150,ISAPCH500P,N
922,T10_1000MN,N
963,WLAKCH100,N
546,SAGESAND7,X
596,SDIACOMD4,X
613,SDIAD10,N
122,HSLWEDV,N
667,SDIASTRD10,X
434,MOTHCDV,N
828,SPSLPCOM0,X
829,SPSLPCOM1,X
830,SPSLPCOM2,X
36,BLDDENI,X
547,SAGESAND8,X
833,SPSLPCOM5,X
1096,SPDIASTRC,X
194,L032,X
433,MOTHCDH,N
488,SAGECOM0,X
121,HSLWEDH,N
884,T5_100MN,X
351,L470,X
931,T20_1300SD,N
352,L472,X
353,L474,X
874,SSH22,X
354,L476,X
355,L478,X
296,L300,X
416,MCULEDV,N
389,L654,X
196,L034,X
21,BLDAGEMIN,X
415,MCULEDH,N
20,BLDAGEMED,X
369,L570,X
514,SAGED9,N
1064,WRIVP,X
450,OLSP,X
152,ISAPCV10,N
993,WLRVCH100,N
968,WLAKCV10,N
39,BLDHTMED,X
986,WLLKCVNEG,N
490,SAGECOM2,X
752,SLOPSTRD10,X
394,LRESIDENT,X
612,SDIAD9,N
611,SDIAD8,N
269,L234,X
268,L233,X
267,L232,X
266,L230,X
604,SDIAD1,N
603,SDIAD0,N
606,SDIAD3,N
605,SDIAD2,N
608,SDIAD5,N
607,SDIAD4,N
610,SDIAD7,N
609,SDIAD6,N
301,L404,X
302,L405,X
303,L406,X
304,L407,X
297,L400,X
298,L401,X
299,L402,X
300,L403,X
848,SPSLPSTR2,X
849,SPSLPSTR3,X
846,SPSLPSTR0,X
847,SPSLPSTR1,X
1012,WOCECV05,N
306,L409,X
850,SPSLPSTR4,X
851,SPSLPSTR5,X
1006,WOCECDV,N
1046,WRESCVNEG,N
407,MCULCH200,N
727,SLOPSAND2,X
177,ITRECH100,N
716,SLOPOTHD8,X
35,BLDDEND10,X
714,SLOPOTHD6,X
996,WLRVCH500P,N
712,SLOPOTHD4,X
22,BLDAGESTD,X
710,SLOPOTHD2,X
96,HBNKCV05,N
708,SLOPOTHD0,X
709,SLOPOTHD1,X
1039,WRESCH200,N
140,IOTHCVNEG,N
231,L151,X
1049,WRESP,X
24,BLDDEN,X
908,T10_650MN,N
473,RDDEND4,X
474,RDDEND5,X
475,RDDEND6,X
476,RDDEND7,X
52,CLPRDUKCNT,N
470,RDDEND1,X
471,RDDEND2,X
472,RDDEND3,X
466,PCLDENI,X
85,GWTRTB2YG,X
477,RDDEND8,X
783,SPCOM,X
411,MCULCV10,N
582,SDIA4,N
795,SPDIACOM4,X
584,SDIA6,N
797,SPDIACOM6,X
578,SDIA0,N
138,IOTHCV20,N
580,SDIA2,N
581,SDIA3,N
890,T5_250MN,N
754,SPAGE1,N
979,WLLKCH200,N
755,SPAGE2,N
938,T20_1700MN,N
383,L632,X
838,SPSLPOTH4,X
839,SPSLPOTH5,X
438,MOTHCH500,N
834,SPSLPOTH0,X
835,SPSLPOTH1,X
836,SPSLPOTH2,X
837,SPSLPOTH3,X
573,SDENOTHD10,X
602,SDIACOMD10,X
344,L456,X
1054,WRIVCH200,N
999,WLRVCV20,N
92,HBNKCH100,N
391,L999,X
939,T20_1700SD,N
1084,WWETCH200,N
167,ISTPCV10,N
87,GWTRTB4YU,X
572,SDENOTH,X
542,SAGESAND3,X
541,SAGESAND2,X
540,SAGESAND1,X
539,SAGESAND0,X
48,CLPRD39CNT,N
545,SAGESAND6,X
544,SAGESAND5,X
543,SAGESAND4,X
935,T20_1500SD,N
247,L208,X
548,SAGESAND9,X
1068,WSTRCH100,N
912,T10_750MN,N
125,ICH100,N
417,MCULP,X
932,T20_1400MN,N
1087,WWETCV05,N
93,HBNKCH200,N
440,MOTHCV05,N
1055,WRIVCH500,N
382,L630,X
16,BLDADEND9,X
384,L634,X
133,IOTHCH200,N
242,L202,X
437,MOTHCH200,N
537,SAGESAN4,X
243,L203,X
629,SDIAOTHD8,X
240,L200,X
241,L201,X
508,SAGED3,N
600,SDIACOMD8,X
734,SLOPSAND9,X
911,T10_700SD,X
512,SAGED7,N
185,ITRECVNEG,N
446,MOTHEDV,N
509,SAGED4,N
1058,WRIVCV10,N
1052,WRIVCH050,N
286,L273,X
1092,WWETEDH,N
284,L270,X
401,MCH500,N
51,CLPRDP,Y
288,L275,X
1089,WWETCV20,N
339,L448,X
7,BLDADEND0,X
10,BLDADEND3,X
9,BLDADEND2,X
12,BLDADEND5,X
11,BLDADEND4,X
14,BLDADEND7,X
1093,WWETEDV,N
332,L440,X
15,BLDADEND8,X
445,MOTHEDH,N
334,L443,X
61,CLTOTP,N
336,L445,X
337,L446,X
561,SAGESTRD5,X
174,ITRECDH,N
399,MCH100,N
159,ISTPCDH,N
145,ISAPCDV,N
1019,WOCEP,X
482,SAGE0,N
965,WLAKCH500,N
1071,WSTRCH500P,N
468,RDDEN,X
969,WLAKCV20,N
451,OPIP,X
170,ISTPCVNEG,N
762,SPAGECOM3,X
144,ISAPCDH,N
160,ISTPCDV,N
761,SPAGECOM2,X
222,L110,X
223,L111,X
658,SDIASTRD1,X
657,SDIASTRD0,X
660,SDIASTRD3,X
570,SDENCOMD10,X
662,SDIASTRD5,X
661,SDIASTRD4,X
463,PCLDEND8,X
464,PCLDEND9,X
666,SDIASTRD9,X
665,SDIASTRD8,X
459,PCLDEND4,X
460,PCLDEND5,X
904,T10_550MN,N
458,PCLDEND3,X
479,RDDEND10,X
456,PCLDEND1,X
502,SAGECOMD8,X
555,SAGESTR5,X
725,SLOPSAND0,N
864,SSH12,X
496,SAGECOMD2,X
