UID, FLDP, OPIP, SAGESAND7, SAGESTRD1, SDENSAN, SDIASTRD7, SPDIASTR2, ZSCORE, ZTRANS, ODDS, p, pH, pL2020, pU2020, pL2050, pU2050, ZOU, CHK
69.000, 0, 0, 0.000, 0.000, 0.002, 0.000, 0, -0.092, 0.528, 2.338, 0.700, 0.701093140175, 0.798357608345, 0.758806445443, 0.88267368906, 0.900311731844, 0, 0
70.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
71.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
72.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
73.000, 0, 0, 0.000, 0.000, 0.117, 0.000, 0, -4.183, 0.000, 0.000, 0.000, 0.99519141376, 0.997145739325, 0.996410585243, 0.998495846628, 0.998746693993, 0, 1
74.000, 0, 1, 0.000, 0.041, 0.024, 0.000, 0, 2.454, 0.856, 69.666, 0.986, 0.985822871138, 0.99155247844, 0.989392028925, 0.995536437426, 0.996278985651, 0, 0
75.000, 0, 1, 0.000, 0.009, 0.010, 0.004, 1, 2.508, 0.863, 73.765, 0.987, 0.986599562351, 0.99201781585, 0.989975172933, 0.995783249062, 0.996484883233, 0, 0
76.000, 0, 1, 0.000, 0.008, 0.008, 0.001, 1, 2.344, 0.842, 61.977, 0.984, 0.984111930547, 0.99052636, 0.988106628955, 0.994991805273, 0.995824577272, 0, 0
77.000, 0, 0, 0.000, 0.000, 0.003, 0.000, 0, -0.122, 0.524, 2.222, 0.690, 0.689795727222, 0.789633321657, 0.748909129264, 0.877035557074, 0.895420774903, 0, 0
78.000, 0, 0, 0.000, 0.000, 0.011, 0.000, 0, -0.502, 0.475, 1.115, 0.527, 0.527591875257, 0.653403108839, 0.599676651001, 0.781762584298, 0.811328265059, 0, 0
79.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
80.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
81.000, 0, 0, 0.000, 0.000, 0.388, 0.000, 0, -4.183, 0.000, 0.000, 0.000, 0.99519141376, 0.997145739325, 0.996410585243, 0.998495846628, 0.998746693993, 0, 1
82.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
83.000, 0, 0, 0.000, 0.000, 0.005, 0.000, 0, -0.243, 0.508, 1.797, 0.642, 0.641443741295, 0.751230921056, 0.705841956594, 0.851589652673, 0.873229523236, 0, 0
84.000, 0, 0, 0.000, 0.000, 0.055, 0.031, 0, -0.846, 0.430, 0.560, 0.359, 0.3571641459, 0.483970037805, 0.427011261113, 0.640559620502, 0.681460196591, 0, 0
85.000, 0, 0, 0.000, 0.000, 0.027, 0.003, 0, -1.062, 0.403, 0.350, 0.259, 0.260650565288, 0.373077240273, 0.321049760071, 0.530685848082, 0.575809534105, 0, 0
86.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
87.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
88.000, 0, 0, 0.000, 0.000, 0.015, 0.000, 0, -0.670, 0.453, 0.804, 0.446, 0.444682924683, 0.574778454413, 0.517857527759, 0.719767789842, 0.755101176484, 0, 0
89.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
90.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
91.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
92.000, 0, 1, 0.000, 0.160, 0.237, 0.095, 0, 3.891, 1.042, 275.504, 0.996, 0.996392519901, 0.997859736762, 0.997307986059, 0.998872494654, 0.999060587598, 0, 0
93.000, 0, 0, 0.000, 0.000, 0.008, 0.000, 0, -0.336, 0.496, 1.521, 0.603, 0.602033443617, 0.718593813527, 0.66986693529, 0.829124180412, 0.85347614851, 0, 0
94.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
95.000, 0, 0, 0.000, 0.000, 0.002, 0.000, 0, -0.094, 0.528, 2.332, 0.700, 0.701093140175, 0.798357608345, 0.758806445443, 0.88267368906, 0.900311731844, 0, 0
96.000, 0, 0, 0.000, 2.106, 0.000, 1.290, 1, 173.219, 22.885, 712401073111.511, 1.000, 0.999999999999, 0.999999999999, 0.999999999999, 1.0, 1.0, 0, 0
97.000, 0, 0, 0.000, 0.002, 0.003, 0.001, 1, 3.567, 1.000, 206.774, 0.995, 0.99519141376, 0.997145739325, 0.996410585243, 0.998495846628, 0.998746693993, 0, 0
98.000, 0, 1, 0.000, 0.000, 0.008, 0.000, 0, 1.124, 0.685, 14.519, 0.936, 0.935752145825, 0.960915271616, 0.951304175786, 0.979042739275, 0.9824808565, 0, 0
99.000, 0, 0, 0.000, 0.000, 0.011, 0.000, 0, -0.501, 0.475, 1.118, 0.528, 0.527591875257, 0.653403108839, 0.599676651001, 0.781762584298, 0.811328265059, 0, 0
100.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
101.000, 0, 0, 0.000, 0.000, 0.026, 0.005, 0, -0.900, 0.424, 0.499, 0.333, 0.334864844402, 0.459411720753, 0.403085546154, 0.617564749638, 0.659691801718, 0, 0
102.000, 0, 1, 0.000, 0.000, 0.000, 0.000, 0, 1.461, 0.728, 22.367, 0.957, 0.957126221051, 0.97414930159, 0.967683061493, 0.986226813563, 0.988500199947, 0, 0
103.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
104.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
105.000, 1, 0, 0.000, 0.000, 0.008, 0.000, 1, -0.854, 0.429, 0.551, 0.355, 0.353423086386, 0.479892309187, 0.423020032253, 0.636790646426, 0.67790444185, 0, 0
106.000, 1, 0, 0.000, 0.000, 0.000, 0.000, 0, -1.303, 0.372, 0.199, 0.166, 0.167413779491, 0.253408342258, 0.212414889828, 0.392079261351, 0.436375787788, 0, 0
107.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
108.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
109.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
110.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
111.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.001, 0.540, 2.739, 0.733, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
112.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
113.000, 0, 1, 0.000, 0.002, 0.010, 0.000, 0, 1.122, 0.684, 14.477, 0.935, 0.935133278978, 0.960528564236, 0.950827241642, 0.97883143538, 0.98230359122, 0, 0
114.000, 0, 1, 0.000, 0.067, 0.113, 0.040, 0, 1.871, 0.781, 36.549, 0.973, 0.97336748901, 0.984049423049, 0.980008758847, 0.991541733849, 0.992944121965, 0, 0
115.000, 0, 1, 0.000, 0.000, 0.011, 0.000, 0, 0.971, 0.665, 11.824, 0.922, 0.922065183219, 0.952315738172, 0.940720436579, 0.974325094521, 0.978520178956, 0, 0
116.000, 0, 0, 0.000, 0.000, 0.010, 0.000, 1, 0.379, 0.589, 5.027, 0.834, 0.834716358696, 0.895011058814, 0.871363340331, 0.941855291293, 0.951089370466, 0, 0
117.000, 0, 0, 0.000, 0.471, 0.272, 0.266, 1, 26.086, 3.905, 2922432.366, 1.000, 0.999999657984, 0.999999797386, 0.999999745011, 0.99999989337, 0.999999911175, 0, 0
118.000, 0, 1, 0.000, 0.000, 0.003, 0.000, 0, 3.567, 1.000, 206.774, 0.995, 0.99519141376, 0.997145739325, 0.996410585243, 0.998495846628, 0.998746693993, 0, 0
119.000, 0, 0, 0.000, 0.000, 0.003, 0.000, 0, -0.122, 0.524, 2.223, 0.690, 0.689795727222, 0.789633321657, 0.748909129264, 0.877035557074, 0.895420774903, 0, 0
120.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
121.000, 0, 0, 0.000, 0.000, 0.010, 0.000, 0, -0.444, 0.482, 1.244, 0.554, 0.553074417171, 0.676263433108, 0.624041645239, 0.798764177017, 0.826537637548, 0, 0
122.000, 0, 0, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.540, 2.734, 0.732, 0.73304947261, 0.82254730868, 0.786471824768, 0.898040332713, 0.913594397518, 1, 0
